source_document_id,source,reference,target_document_ids,target_sources,example_chunk_index
18073af1-0a38-4941-a47e-9a80d45a9c11,FCAmendmentAct2023.pdf,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
1bbb8f21-e8b3-428c-bfd0-2a893d909450,ensuring compliance of FRA during 2013.pdf,"the Forest (Conservation) Act,1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
1c243db8-8652-438d-ac39-400477c7c8dd,Clarification on the mining proposals involving change in the land use 26.12.24.pdf,"Forest Conservation Act,1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
1e3e8e78-2951-48ce-bd5c-6bf5d24c5556,Simplified procedure for grant of permission for felling of trees standing on forest land to be diverted for execution of linear projects 27.09.2017.pdf,the Forest (Conservation) Act 1980,8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
1f7c8a86-28a4-43eb-a3fc-542be8f3e848,changing status of forest land to revenue land in case of voluntary relocation of villages 20.05.2019.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,2
2041b954-ae66-44d9-b05f-a5bc1df305e2,UIDELI_1.PDF,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
21982e06-4895-4024-84f5-4706998161cd,14TFCR_2003.pdf,"the Forest

(Conservation) Act,1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
21c81491-9d51-4823-b696-4a73e7330792,APPROV_1.PDF,"the Forest

(Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
21ea4fee-e0dc-4fa3-b2bc-78b8a0f41d88,Guidelines under Forest _Conservation_ Act_ 1980_ in pursuance of the -The Mineral Laws _Amendment_ Act_ 2020 10.11.20.pdf,"Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
24e2c595-48e3-448b-b549-f77101e5bf10,General approval LWE District 25.02.2016.docx,"the Forest (Conservation) Act, 1980",8f58f211-fd1a-412d-9a6b-65785b90ec56; 96d8318d-2087-4b13-8e79-5519a408092a,ind3172.pdf; the_forest__conservation__act__1980.pdf,0
