filename,size_bytes,uploaded_at_utc,document_record_status,latest_job_status,failure_category,failure_reason,reason_source,attempt_count,latest_job_id,job_created_at_utc,job_started_at_utc,job_finished_at_utc,document_updated_at_utc
"Land record-Sabik Hal-Chief Secretary.pdf",1254725,2026-07-25T09:44:17.096000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,3e6d33f2-166f-4583-b188-6837898bc089,2026-07-25T09:44:25.616247+00:00,2026-07-25T09:52:29.198437+00:00,2026-07-25T09:52:30.071422+00:00,
"Mining leases _ML_ applications MMDR Act 08.02.2017.pdf",495975,2026-08-03T15:29:29.449000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Mining leases _ML_ applications MMDR Act 08.02.2017.pdf: startxref not found","ingest_jobs.error",1,16035b58-0a5b-45e7-9153-979219b85cbe,2026-08-03T15:29:35.448785+00:00,2026-08-03T15:36:42.562176+00:00,2026-08-03T15:36:43.650866+00:00,
"NEERI-Report.pdf",1755068,2026-07-25T14:04:37.301000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,d7440fa7-c40c-4810-a6b5-d03a63d23838,2026-07-25T14:04:43.903902+00:00,2026-07-25T14:14:20.882968+00:00,2026-07-25T14:14:22.211858+00:00,
NGT-Act 2010.pdf,681576,2026-07-25T14:17:32.913000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,2a2f9237-dc98-411c-ade2-d8b346fe57d9,2026-07-25T14:17:39.598384+00:00,2026-07-25T14:25:36.197432+00:00,2026-07-25T14:25:37.228048+00:00,
NPV Applicability Date _ Rate.pdf,550820,2026-07-25T14:04:48.005000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,c90e337c-1b91-4110-8857-1b9b87c1d8b8,2026-07-25T14:04:54.914667+00:00,2026-07-25T14:14:22.587675+00:00,2026-07-25T14:14:24.017355+00:00,
"NPV-Supreme Court.pdf",2180888,2026-07-25T14:04:48.674000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,f3e9517d-e3e5-4ce4-860b-be6acb5968a2,2026-07-25T14:04:55.453875+00:00,2026-07-25T14:14:24.478679+00:00,2026-07-25T14:14:26.016296+00:00,
"National Green Tribunal _NGT_ Act 2010.pdf",681576,2026-07-27T12:47:33.624000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,4cf6bf3d-c793-4fd4-8c6c-a39860bd1ae2,2026-07-27T12:47:39.616064+00:00,2026-07-27T13:05:45.713387+00:00,2026-07-27T13:05:46.672497+00:00,
"Nodal Officer for Prospecting.pdf",1527575,2026-07-25T09:44:17.299000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,e044b2e4-ed98-439e-a3be-3eef51ccf3be,2026-07-25T09:44:25.023515+00:00,2026-07-25T09:52:26.232017+00:00,2026-07-25T09:52:27.539249+00:00,
"PF _ Area Diverted-Abstract-Dec 2024.pdf",268307,2026-07-25T14:05:31.121000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,7cee7077-81b0-43f0-b19b-b7848b99612f,2026-07-25T14:05:37.449167+00:00,2026-07-25T14:14:39.779359+00:00,2026-07-25T14:14:41.219301+00:00,
"Physical copies of Stage-I and Stage-II approval under Forest _Conservation_ Act_ 1980 on PARIVESH Portal 12.03.2019.pdf",18105,2026-07-28T12:31:51.805000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ed7e8895-e3f6-4ed2-8013-b01c8bc1a9d5,2026-07-28T12:31:57.112578+00:00,2026-07-28T12:39:53.443677+00:00,2026-07-28T12:39:54.477076+00:00,
