filename,size_bytes,uploaded_at_utc,document_record_status,latest_job_status,failure_category,failure_reason,reason_source,attempt_count,latest_job_id,job_created_at_utc,job_started_at_utc,job_finished_at_utc,document_updated_at_utc
"Clarification on applicability of the Forest _Conservation_ Act_ 1980 on Railways land 10.03.22.pdf",124185,2026-07-27T14:28:04.246000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,f43dad25-abc9-4309-96d0-a52120a6c239,2026-07-27T14:28:09.960379+00:00,2026-07-27T14:36:20.106341+00:00,2026-07-27T14:36:20.9798+00:00,
"Clarification on drilling of shot holes for seismic surveys 03.05.2017.pdf",630870,2026-08-03T15:10:28.604000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Clarification on drilling of shot holes for seismic surveys 03.05.2017.pdf: startxref not found","ingest_jobs.error",1,63381b01-6a85-42b4-806b-32891e49eb2b,2026-08-03T15:10:35.195802+00:00,2026-08-03T15:17:42.512831+00:00,2026-08-03T15:17:44.239647+00:00,
"Clarification on the guidelines given under para 7.3_iv_ 31.05.2023.pdf",526830,2026-07-25T08:49:53.515000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ec3e4bc2-ab50-454a-82ec-7a962a2e4a11,2026-07-25T08:50:00.484271+00:00,2026-07-25T08:57:08.484004+00:00,2026-07-25T08:57:09.830856+00:00,
"Clarification regarding Liner Infrastructure _Conveyor belt_ linked to mining project 05.08.2019.pdf",74205,2026-07-28T12:31:09.518000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,9ec14950-2aa4-4695-9c27-ce4690908925,2026-07-28T12:31:14.971014+00:00,2026-07-28T12:38:59.043707+00:00,2026-07-28T12:39:00.255118+00:00,
"Clarification regarding applicability of revised rates of Net Present Value 22.03.2022.pdf",32640,2026-07-27T14:28:59.671000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,bce9aba3-bbcb-4461-88dd-aa2cd9bc8613,2026-07-27T14:29:05.598323+00:00,2026-07-27T14:36:28.882182+00:00,2026-07-27T14:36:29.824242+00:00,
"Compensatory Afforestation on Degraded Forest Land in respect of captive coal blocks of State PSUs for limited puposes 19.04.22.pdf",173145,2026-07-27T14:29:20.450000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,25e53244-0435-448e-81eb-c7f52694deb8,2026-07-27T14:29:25.845313+00:00,2026-07-27T14:36:38.300707+00:00,2026-07-27T14:36:39.189832+00:00,
"Compensatory afforestation on Degraded Forest Land in respect of captive coal blocks of State PSUs for limited purpose 11.04.22.pdf",36975,2026-07-27T14:29:29.129000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,ea121747-d9e7-4fb5-8c06-aa842d0577ce,2026-07-27T14:29:34.975048+00:00,2026-07-27T14:36:44.188512+00:00,2026-07-27T14:36:45.082255+00:00,
"Compliance of the Schedule Tribes and Other Traditional Forest Dwellers _Recognition of Forest Rights_ Act_ 2006 26.02.2019.pdf",997815,2026-07-28T12:31:18.423000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,e14317af-fe81-44d1-9a16-0bf088e36f95,2026-07-28T12:31:23.861524+00:00,2026-07-28T12:39:13.145253+00:00,2026-07-28T12:39:14.462916+00:00,
"Constitution of India 1.5.2026.pdf",2684622,2026-07-27T12:46:53.712000+00:00,,failed,page_limit_exceeded,"PDF Constitution of India 1.5.2026.pdf has 402 pages; the configured limit is 300.","ingest_jobs.error",1,db045744-b78c-456e-bb33-756d3240af6d,2026-07-27T12:46:59.217845+00:00,2026-07-27T13:03:42.12219+00:00,2026-07-27T13:03:43.846627+00:00,
"Constitution of India.pdf",17056296,2026-07-31T11:45:44.313000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,a5f4eb84-e9ad-45ff-9434-f03d1979b700,2026-07-31T11:45:50.820249+00:00,2026-07-31T11:53:00.799642+00:00,2026-07-31T11:53:02.798683+00:00,
"Constructions to all IROs not to raise multiple EDS in forest clearance proposals 04.12.20.pdf",3995595,2026-07-27T14:46:59.727000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,0f7bbfc7-83c2-40cf-a08e-537ba7532ab8,2026-07-27T14:47:05.111565+00:00,2026-07-27T14:54:18.76419+00:00,2026-07-27T14:54:20.485309+00:00,
DGPS-FCA.pdf,43860,2026-07-25T14:22:43.560000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,75a30122-1121-4c05-98db-1424279b4084,2026-07-25T14:22:49.997752+00:00,2026-07-25T14:30:25.263474+00:00,2026-07-25T14:30:26.215047+00:00,
DLC Odisha.pdf,462327,2026-07-25T14:00:40.176000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,062ec7f0-330b-4d02-a4a8-985923591361,2026-07-25T14:00:45.672848+00:00,2026-07-25T14:07:54.075391+00:00,2026-07-25T14:07:55.02557+00:00,
"Deposition of fund through online for implementation of CAT plan in more than one instalment for small Hydel Project 03.07.2018.pdf",53040,2026-07-28T12:44:52.522000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,946d0a3d-9ca2-4c8c-94e6-bdde6fa6604e,2026-07-28T12:44:57.902766+00:00,2026-07-28T12:52:06.595569+00:00,2026-07-28T12:52:08.14568+00:00,
"Documents for PF Notification.pdf",491260,2026-07-25T14:01:01.084000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,24f7417b-3254-4f38-bcc4-ea6fca45b27b,2026-07-25T14:01:06.401504+00:00,2026-07-25T14:08:13.624352+00:00,2026-07-25T14:08:14.57009+00:00,
"Exempted boreholes.pdf",1129646,2026-07-16T11:41:16.028000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,750d6f10-09a4-483d-9dfb-11b3340f53cd,2026-07-16T11:41:28.661034+00:00,2026-07-16T11:48:40.292498+00:00,2026-07-16T11:48:41.305166+00:00,
"FC Amendment Act 1988.pdf",3687555,2026-07-25T14:23:15.731000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF FC Amendment Act 1988.pdf: startxref not found","ingest_jobs.error",1,2a35e49a-7222-4548-b204-eb7d2c3f89d8,2026-07-25T14:23:21.948243+00:00,2026-07-25T14:30:29.901694+00:00,2026-07-25T14:30:30.918929+00:00,
"FRA_English.pdf",9116858,2026-07-25T14:03:20.634000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,767e9c88-52b4-4013-9b81-8e5e864a3cf6,2026-07-25T14:03:26.83085+00:00,2026-07-25T14:11:19.038087+00:00,2026-07-25T14:11:20.220922+00:00,
"Felling permission of trees in ESZ of Protected area 29.09.2016.pdf",384285,2026-08-04T10:41:17.068000+00:00,,failed,"invalid_or_corrupt_pdf_structure","Could not read PDF Felling permission of trees in ESZ of Protected area 29.09.2016.pdf: startxref not found","ingest_jobs.error",1,668f8901-82d2-4222-a712-49941fba479c,2026-08-04T10:41:23.510537+00:00,2026-08-04T10:48:31.045539+00:00,2026-08-04T10:48:32.597103+00:00,
"Forest Area Diverted for the year 2024.pdf",1512224,2026-07-25T14:02:21.240000+00:00,,failed,"no_extractable_text","Document was not found or contains no extractable text.","ingest_jobs.error",1,3fa2247d-11db-43ef-9213-1dea0ecf08aa,2026-07-25T14:02:27.670125+00:00,2026-07-25T14:11:09.691512+00:00,2026-07-25T14:11:10.648675+00:00,
